,group,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
424,"Tampakan, Mindanao",18.78641185,39.00506892,4.749577193,18.59883422,3.384386291,0.929243377,2.612935099,0.365396679,2.04111487,0.416188304,1.1602477,0.168675959,1.157305662,0.184988901
425,"Tampakan, Mindanao",8.106002968,18.29580373,2.421088884,10.30369612,2.317948351,0.751368661,2.193559748,0.340343289,2.033438281,0.445386864,1.321158073,NA,1.325978766,0.214425925
426,"Tampakan, Mindanao",15.51551769,31.67403384,3.764892244,14.28831284,2.601379722,0.768996513,2.020667404,0.274900772,1.467869206,0.29101781,0.839825649,0.115890803,0.823140029,0.139760037
427,"Tampakan, Mindanao",12.00890393,25.02266189,3.155063763,12.13814115,2.392298305,0.730379613,1.988654944,0.284757568,1.516084929,0.311831968,0.872896991,NA,0.896764627,0.141547354
428,"Tampakan, Mindanao",14.43719138,29.09874359,3.422797952,13.42621138,2.509378666,0.85436237,2.017966125,0.284518804,1.503307339,0.30022677,0.821497384,NA,0.813136613,0.133011943
429,"Tampakan, Mindanao",13.54856766,28.67804682,3.720152751,14.96712287,2.998406223,1.018814199,2.823566558,0.433244131,2.492437797,0.547264426,1.586050394,NA,1.587663297,0.253109173
430,"Tampakan, Mindanao",16.79377291,34.22022556,4.24782926,17.00401482,3.519203088,1.11599334,3.199818069,0.479619235,2.674038355,0.560569743,1.589705723,NA,1.423555619,0.224929466
431,"Tampakan, Mindanao",15.69454087,31.78926146,4.594148287,19.73059361,4.415044183,1.331956304,4.243698577,0.626975392,3.521212475,0.718252686,1.982525434,NA,1.741796875,0.26863192
432,"Tampakan, Mindanao",15.57128641,32.00825941,4.165883529,16.57899707,3.43475893,1.045098923,3.072027802,0.466376157,2.632777359,0.528861456,1.530375307,NA,1.445935233,0.225294923
433,"Tampakan, Mindanao",16.09738199,34.06994202,4.25759975,16.62868562,3.216351638,0.923678507,2.653130936,0.384443937,2.164589273,0.465231235,1.335237266,NA,1.321809326,0.212212121
434,"Tampakan, Mindanao",15.30950048,30.49583207,3.651746763,13.88389086,2.677081057,0.62522988,2.25631211,0.332860435,1.888168644,0.4044254,1.237825637,0.174034246,1.256452497,0.19702351
435,"Tampakan, Mindanao",15.00002953,32.81259412,4.234685937,16.68501683,3.276331502,0.925270991,2.966370831,0.462664404,2.646107428,0.562313648,1.651927567,NA,1.579635285,0.258929929
436,"Tampakan, Mindanao",15.64615935,34.48518213,4.263106648,17.29063564,3.326611319,1.023680946,2.91771861,0.457227499,2.53357766,0.570900759,1.639998644,NA,1.629778715,0.265516188
437,"Tampakan, Mindanao",13.97747041,29.75667633,3.761820603,15.83756562,3.482353018,1.141928585,3.59155551,0.566119986,3.313346301,0.689269921,1.963338673,NA,1.805210367,0.283982279
438,"Tampakan, Mindanao",15.10014005,32.67497354,4.314922131,16.34893306,3.29877557,0.974666503,2.923177763,0.452568578,2.511624947,0.552043408,1.64373867,NA,1.625233238,0.254046994
439,"Tampakan, Mindanao",15.92255345,34.32324486,4.252112306,17.82958307,3.548633182,1.030503282,3.091482712,0.463479215,2.530276336,0.554236585,1.626658298,NA,1.588101761,0.254947626
440,"Tampakan, Mindanao",14.4440221,27.32840383,3.463891096,13.71398105,2.580377883,0.857181116,2.227388673,0.336457548,1.907030847,0.370925185,1.062085676,NA,1.025271368,0.17772616
441,"Tampakan, Mindanao",10.43058278,23.3740912,2.967819621,11.47714237,2.185825253,0.77338701,1.797207448,0.250812839,1.249059029,0.262642195,0.734781985,NA,0.701938574,0.106279462
442,"Tampakan, Mindanao",11.54247184,25.40671266,3.483336059,14.21291603,2.759975392,0.976307553,2.452316512,0.34804204,1.940814709,0.40718654,1.149068271,NA,1.08879273,0.173856353
443,"Tampakan, Mindanao",10.47506619,25.2044631,3.080832404,12.17931817,2.399676442,0.825641739,1.888584687,0.261791411,1.373627274,0.28347663,0.727830626,NA,0.699894811,0.11027826
444,"Tampakan, Mindanao",11.55671317,25.30415561,3.243612267,13.79638863,2.704134814,0.894655583,2.296755152,0.349836686,1.799867674,0.391986325,1.085447408,NA,1.048295968,0.166307823
445,"Tampakan, Mindanao",17.3344688,34.42643026,4.71356572,19.32632545,3.747889314,1.09319632,3.015806401,0.428692132,2.308777181,0.491634564,1.390274841,NA,1.314579671,0.213840462
446,"Tampakan, Mindanao",12.1359705,25.31380559,3.050141811,11.92355324,2.428312937,0.790680551,2.1768444,0.363783204,2.038267475,0.441139112,1.275434165,NA,1.424364738,0.21993523
447,"Tampakan, Mindanao",13.23412098,26.49239652,3.889814645,14.08713804,2.781614985,0.99116873,2.512844178,0.417894479,2.060961062,0.498247368,1.435887875,NA,1.375444717,0.218548281
448,"Tampakan, Mindanao",20.59162113,32.51996541,5.969140816,24.55385219,4.837722623,1.51204656,4.416605112,0.667382689,3.690749202,0.739966903,2.099814243,0.294532069,2.056741504,0.315038665
449,"Tampakan, Mindanao",13.4,28,NA,16,NA,0.9,NA,NA,2.6,NA,1.5,NA,1.45,NA
450,"Tampakan, Mindanao",12.2,27,NA,15,NA,0.9,NA,NA,1.9,NA,1.2,NA,1.05,NA
451,"Tampakan, Mindanao",11.4,24,NA,14,NA,0.75,NA,NA,1.5,NA,0.8,NA,0.62,NA
452,"Tampakan, Mindanao",16.2,36,NA,19,NA,0.95,NA,NA,2.9,NA,1.6,NA,1.55,NA
453,"Lepanto-Far Southeast, Luzon",9.6,20.4,NA,13.2,2.6,1.15,2.8,0.5,3.3,0.69,1.9,0.4,1.7,0.37
454,"Lepanto-Far Southeast, Luzon",6.6,15,NA,8,1.8,0.6,1.9,0.3,2,NA,NA,NA,1.07,0.16
455,"Lepanto-Far Southeast, Luzon",7.6,16,NA,8,1.81,0.6,1.3,0.2,1.4,NA,NA,NA,0.95,0.14
456,"Lepanto-Far Southeast, Luzon",6.5,14,NA,8,1.84,0.61,1.8,0.3,2,NA,NA,NA,1.1,0.17
457,"Lepanto-Far Southeast, Luzon",12.5,18,NA,16,3.22,1.03,2.5,0.4,2.3,NA,NA,NA,1.74,0.27
458,"Lepanto-Far Southeast, Luzon",9.6,17,NA,10,2.2,0.7,1.1,0.3,2.3,NA,NA,NA,1.29,0.21
459,"Lepanto-Far Southeast, Luzon",5.9,13,NA,7,1.58,0.56,1.6,0.3,1.5,NA,NA,NA,0.93,0.13
460,"Lepanto-Far Southeast, Luzon",6,13,NA,6,1.43,0.51,1.2,0.2,1.2,NA,NA,NA,0.71,0.11
461,"Lepanto-Far Southeast, Luzon",7.9,17,NA,10,2.24,0.74,1.9,0.3,2.1,NA,NA,NA,1.11,0.17
